schema_version,organization_id,canonical_name,group_id,official_domains,geography,aliases,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,ORG-0028671DDFABD673,Hyundai Capital America,null,"[""hyundaicapital.taleo.net""]","[""United States""]","[""Hyundai Capital America""]",active,0.9,"[""AMC-6687""]",1
agent-hiring-map-public/1.0,ORG-004283BB37EAEFFE,它石智航 / TARS,null,"[""tarsrobot.jobs.feishu.cn""]","[""China""]","[""它石智航 / TARS""]",active,0.9,"[""AMC-6766""]",1
agent-hiring-map-public/1.0,ORG-007F2F8CDCEABCF4,Replicas,null,"[""tryreplicas.com""]","[""United States""]","[""Replicas""]",active,0.9,"[""AMC-7104""]",1
agent-hiring-map-public/1.0,ORG-0097DC7B0A6EE85D,Aeris Communications,null,"[""aeriscommunications.applytojob.com""]","[""United States""]","[""Aeris Communications""]",active,0.9,"[""AMC-6554""]",1
agent-hiring-map-public/1.0,ORG-009AA6BDF27661C5,PaleBlueDot AI,null,"[""prnewswire.com""]","[""United States""]","[""PaleBlueDot AI""]",active,0.9,"[""AMC-5990""]",1
agent-hiring-map-public/1.0,ORG-009CCFC5EED9F438,RuoYi AI,null,"[""ruoyiai.chat""]","[""China""]","[""RuoYi AI""]",active,0.9,"[""AMC-1498""]",1
agent-hiring-map-public/1.0,ORG-0172D1CE1B845058,深圳理工大学,null,"[""suat-sz.edu.cn""]","[""China""]","[""深圳理工大学""]",active,0.9,"[""AMC-6459""]",1
agent-hiring-map-public/1.0,ORG-01A3C78FA2BDE587,金科环境股份有限公司 / GreenTech Environmental,null,"[""greentech.com.cn""]","[""China""]","[""金科环境股份有限公司 / GreenTech Environmental""]",active,0.9,"[""AMC-6707""]",1
agent-hiring-map-public/1.0,ORG-01CA245C96C8C0B5,NAVER,null,"[""naveruhubinc.applytojob.com""]","[""United States""]","[""Naver U.Hub INC""]",active,1.0,"[""AMC-6552""]",1
agent-hiring-map-public/1.0,ORG-02913FB0FA32690A,广东九悦科技有限公司,null,"[""joyuerpa.com""]","[""China""]","[""广东九悦科技有限公司""]",active,0.9,"[""AMC-6585""]",1
agent-hiring-map-public/1.0,ORG-02D2C7DD83E76A59,Lorikeet,null,"[""jobs.ashbyhq.com""]","[""United States""]","[""Lorikeet""]",active,0.9,"[""AMC-6777""]",1
agent-hiring-map-public/1.0,ORG-02D7E585A7C5C4A6,VAST Data,null,"[""vastdata.com""]","[""United States""]","[""VAST Data""]",active,0.9,"[""AMC-6852""]",1
agent-hiring-map-public/1.0,ORG-0359A5492C14D49C,Rollio,null,"[""rollio.ai""]","[""United States""]","[""Rollio""]",active,0.9,"[""AMC-6363""]",1
agent-hiring-map-public/1.0,ORG-04307710A5DFDB1E,来也 APA Creator,null,"[""laiye.com""]","[""China""]","[""来也 APA Creator""]",active,0.9,"[""AMC-0059""]",1
agent-hiring-map-public/1.0,ORG-04A1D6E54D34B578,"Trico Electric Cooperative, Inc.",null,"[""jobs.ourcareerpages.com""]","[""United States""]","[""Trico Electric Cooperative, Inc.""]",active,0.9,"[""AMC-6690""]",1
agent-hiring-map-public/1.0,ORG-04A9322C3C29327E,Zenity,null,"[""zenity.io""]","[""United States""]","[""Zenity""]",active,0.9,"[""AMC-6509""]",1
agent-hiring-map-public/1.0,ORG-04BC5E3E47FE10FB,Talcott Financial Group,null,"[""jobs.dayforcehcm.com""]","[""United States""]","[""Talcott Financial Group""]",active,0.9,"[""AMC-6989""]",1
agent-hiring-map-public/1.0,ORG-04C66AD88A64A022,阿里妈妈数字营销 / AI万相,null,"[""weixin.sogou.com""]","[""China""]","[""阿里妈妈数字营销 / AI万相""]",active,0.9,"[""AMC-3804""]",1
agent-hiring-map-public/1.0,ORG-04C79AFC0FA43B23,DPR Construction,null,"[""dpr.com""]","[""United States""]","[""DPR Construction""]",active,0.9,"[""AMC-6781""]",1
agent-hiring-map-public/1.0,ORG-04D7C555E3127882,香港中文大学（深圳）,null,"[""freedomintelligence.github.io""]","[""China""]","[""FreedomAI""]",active,1.0,"[""AMC-6665""]",1
agent-hiring-map-public/1.0,ORG-057EE62A75D30D23,KittLabs / KittLabsAI,null,"[""github.com""]","[""China""]","[""KittLabs / KittLabsAI""]",active,0.9,"[""AMC-6979""]",1
agent-hiring-map-public/1.0,ORG-05803840033854B0,Titan Holdings,null,"[""careers-page.com""]","[""United States""]","[""Titan Holdings""]",active,0.9,"[""AMC-6697""]",1
agent-hiring-map-public/1.0,ORG-0581B3B919160EA6,"Lifepoint Health, Inc.",null,"[""lifepointhealth.net""]","[""United States""]","[""Lifepoint Health, Inc.""]",active,0.9,"[""AMC-6709""]",1
agent-hiring-map-public/1.0,ORG-059DE9E378B386E2,Parloa,null,"[""job-boards.eu.greenhouse.io""]","[""United States""]","[""Parloa""]",active,1.0,"[""AMC-1801"",""AMC-1808"",""AMC-1810""]",1
agent-hiring-map-public/1.0,ORG-05E044143DE32757,CXMT / 长鑫存储技术有限公司,null,"[""cxmt.zhiye.com""]","[""China""]","[""CXMT / 长鑫存储技术有限公司""]",active,0.9,"[""AMC-6394""]",1
agent-hiring-map-public/1.0,ORG-061258D2CC02C952,Evovex AI,null,"[""evovexai.com""]","[""China""]","[""EvoFlow / EvoVex AI""]",active,1.0,"[""AMC-1497""]",1
